bootstrap_id,analysis,method,feature_set,metric,boot_mean_rho,n_runs
14,absolute_effect,tfidf_contrast,stacked,score_pref_struct,0.2499043680537607,25
15,absolute_effect,compression_distilgpt2,other_human_targets,score_pref_struct,0.30852038834951456,25
15,absolute_effect,compression_distilgpt2,other_human_plus_surface,score_pref_struct,0.30648025889967634,25
15,absolute_effect,compression_distilgpt2,stacked,score_pref_struct,0.2455145631067961,25
15,absolute_effect,embedding_contrast,other_human_targets,score_pref_struct,-0.21612427184466018,25
15,absolute_effect,embedding_contrast,other_human_plus_surface,score_pref_struct,-0.19619935275080905,25
15,absolute_effect,embedding_contrast,stacked,score_pref_struct,-0.13126731391585758,25
15,absolute_effect,tfidf_contrast,other_human_targets,score_pref_struct,-0.0060841423948220005,25
15,absolute_effect,tfidf_contrast,other_human_plus_surface,score_pref_struct,0.033931391585760515,25
15,absolute_effect,tfidf_contrast,stacked,score_pref_struct,0.11960647249190937,25
16,absolute_effect,compression_distilgpt2,other_human_targets,score_pref_struct,0.04867046042421107,25
16,absolute_effect,compression_distilgpt2,other_human_plus_surface,score_pref_struct,-0.004459389549922404,25
16,absolute_effect,compression_distilgpt2,stacked,score_pref_struct,-0.07547853078116915,25
16,absolute_effect,embedding_contrast,other_human_targets,score_pref_struct,-0.12265907915157785,25
16,absolute_effect,embedding_contrast,other_human_plus_surface,score_pref_struct,-0.15427832384893944,25
16,absolute_effect,embedding_contrast,stacked,score_pref_struct,-0.06775995861355406,25
16,absolute_effect,tfidf_contrast,other_human_targets,score_pref_struct,-0.3382928091050181,25
16,absolute_effect,tfidf_contrast,other_human_plus_surface,score_pref_struct,-0.31745473357475423,25
16,absolute_effect,tfidf_contrast,stacked,score_pref_struct,-0.1546301086394206,25
17,absolute_effect,compression_distilgpt2,other_human_targets,score_pref_struct,0.12610537190082646,25
17,absolute_effect,compression_distilgpt2,other_human_plus_surface,score_pref_struct,0.1509297520661157,25
17,absolute_effect,compression_distilgpt2,stacked,score_pref_struct,0.32671487603305793,25
17,absolute_effect,embedding_contrast,other_human_targets,score_pref_struct,0.03855371900826446,25
17,absolute_effect,embedding_contrast,other_human_plus_surface,score_pref_struct,0.2614152892561984,25
17,absolute_effect,embedding_contrast,stacked,score_pref_struct,0.5838429752066117,25
17,absolute_effect,tfidf_contrast,other_human_targets,score_pref_struct,0.020402892561983476,25
17,absolute_effect,tfidf_contrast,other_human_plus_surface,score_pref_struct,0.3162913223140496,25
17,absolute_effect,tfidf_contrast,stacked,score_pref_struct,0.29245867768595046,25
18,absolute_effect,compression_distilgpt2,other_human_targets,score_pref_struct,0.3764833462432223,25
18,absolute_effect,compression_distilgpt2,other_human_plus_surface,score_pref_struct,0.33120578363026076,25
18,absolute_effect,compression_distilgpt2,stacked,score_pref_struct,0.292011360702298,25
18,absolute_effect,embedding_contrast,other_human_targets,score_pref_struct,0.1683139684998709,25
18,absolute_effect,embedding_contrast,other_human_plus_surface,score_pref_struct,0.200568035114898,25
18,absolute_effect,embedding_contrast,stacked,score_pref_struct,0.2180841724761167,25
