item_id,target__Felt_Valence,target__rhyme,word_len_calc,char_len_calc,line_count,mean_line_words,max_line_words,short_line_rate,type_token_ratio,avg_word_chars,punct_per_char,archaic_per_word,pool__Surprise_surface_matched
chaudhuri_2024_6,3.9583333333333335,,101,548,14,7.214285714285714,9,0.0714285714285714,0.7128712871287128,4.237623762376238,0.0401459854014598,0.0,0.0
chaudhuri_2024_7,4.635416666666667,,117,601,18,6.5,8,0.0555555555555555,0.6752136752136753,3.965811965811966,0.0266222961730449,0.0,0.5
chaudhuri_2024_8,4.770833333333333,,49,274,12,4.083333333333333,8,0.3333333333333333,0.7551020408163265,4.204081632653061,0.0583941605839416,0.0,1.0
chaudhuri_2024_9,4.21875,,114,616,16,7.125,10,0.125,0.7368421052631579,4.192982456140351,0.0389610389610389,0.0,0.0
chaudhuri_2024_10,4.114583333333333,,42,260,10,4.2,7,0.2,0.8333333333333334,4.880952380952381,0.0423076923076923,0.0,1.0
chaudhuri_2024_11,4.364583333333333,,84,446,14,6.0,7,0.0714285714285714,0.6547619047619048,4.0,0.0493273542600896,0.0,0.5
chaudhuri_2024_12,4.458333333333333,,34,191,8,4.25,6,0.25,0.6176470588235294,4.323529411764706,0.031413612565445,0.0,0.5
chaudhuri_2024_13,4.114583333333333,,54,332,12,4.5,6,0.25,0.7777777777777778,4.962962962962963,0.0210843373493975,0.0,0.0
chaudhuri_2024_14,4.239583333333333,,55,323,10,5.5,7,0.2,0.8,4.6,0.0433436532507739,0.0,0.0
chaudhuri_2024_15,4.385416666666667,,109,521,18,6.055555555555555,8,0.1111111111111111,0.5045871559633027,3.688073394495413,0.0076775431861804,0.0,0.0
chaudhuri_2024_16,5.427083333333333,,103,572,17,6.0588235294117645,10,0.1764705882352941,0.6213592233009708,4.281553398058253,0.0402097902097902,0.0,1.0
chaudhuri_2024_17,4.59375,,104,619,17,6.117647058823529,10,0.1764705882352941,0.7596153846153846,4.586538461538462,0.0872374798061389,0.0,1.0
chaudhuri_2024_18,4.9375,,54,286,10,5.4,8,0.2,0.7777777777777778,4.055555555555555,0.0349650349650349,0.0,0.5
chaudhuri_2024_19,5.09375,,114,584,16,7.125,10,0.125,0.5964912280701754,4.0,0.0256849315068493,0.0,0.5
chaudhuri_2024_20,5.020833333333333,,107,560,14,7.642857142857143,10,0.0714285714285714,0.6635514018691588,4.065420560747664,0.0303571428571428,0.0,0.0
chaudhuri_2024_21,4.958333333333333,,71,391,10,7.1,9,0.1,0.5915492957746479,4.309859154929577,0.0358056265984654,0.0,1.0
chaudhuri_2024_22,3.6770833333333335,,37,201,8,4.625,7,0.25,0.7837837837837838,4.243243243243243,0.0298507462686567,0.0,0.0
chaudhuri_2024_23,4.6875,,96,481,14,6.857142857142857,9,0.0714285714285714,0.5208333333333334,3.75,0.0436590436590436,0.0,1.0
chaudhuri_2024_24,5.21875,,99,549,14,7.071428571428571,11,0.0714285714285714,0.7171717171717171,4.313131313131313,0.0309653916211293,0.0,1.0
chaudhuri_2024_25,5.1875,,83,429,14,5.928571428571429,9,0.1428571428571428,0.6746987951807228,3.9397590361445785,0.0372960372960372,0.0,1.0
chaudhuri_2024_26,4.020833333333333,,117,657,16,7.3125,10,0.125,0.7692307692307693,4.3760683760683765,0.045662100456621,0.0085470085470085,0.5
chaudhuri_2024_27,4.447916666666667,,82,443,14,5.857142857142857,8,0.1428571428571428,0.7073170731707317,4.073170731707317,0.0586907449209932,0.0121951219512195,0.5
chaudhuri_2024_28,4.479166666666667,,70,357,13,5.384615384615385,8,0.2307692307692307,0.7857142857142857,3.7857142857142856,0.0588235294117647,0.0,0.0
chaudhuri_2024_29,4.34375,,87,443,11,7.909090909090909,10,0.0909090909090909,0.7241379310344828,3.839080459770115,0.0428893905191873,0.0,0.0
chaudhuri_2024_30,4.15625,,32,218,6,5.333333333333333,7,0.3333333333333333,0.875,5.375,0.0596330275229357,0.0,0.5
chaudhuri_2024_31,4.09375,,77,440,11,7.0,9,0.0909090909090909,0.8051948051948052,4.441558441558442,0.0431818181818181,0.0129870129870129,0.5
chaudhuri_2024_32,4.458333333333333,,95,485,15,6.333333333333333,11,0.0666666666666666,0.6947368421052632,3.8842105263157896,0.0412371134020618,0.031578947368421,0.5
chaudhuri_2024_33,4.3125,,46,243,10,4.6,6,0.1,0.7391304347826086,4.0,0.0493827160493827,0.0,0.5
chaudhuri_2024_34,4.197916666666667,,67,298,11,6.090909090909091,8,0.0909090909090909,0.6567164179104478,3.2686567164179103,0.0335570469798657,0.0,0.0
chaudhuri_2024_35,3.333333333333333,,92,530,18,5.111111111111111,7,0.0555555555555555,0.75,4.521739130434782,0.0339622641509433,0.0,0.0
chaudhuri_2024_36,4.697916666666667,,50,269,10,5.0,8,0.1,0.8,4.1,0.0557620817843866,0.0,0.0
